direction,setup_time,setup_pos_time,entry,sl,spike_body,second_entry_active,signal_id,tp,entry_time,outcome,exit_time,setup_time_chart_label,entry_time_chart_label,exit_time_chart_label
BUY,2026-08-19 14:10:00+00:00,2026-08-19 14:10:00+00:00,4370.64,4366.28,3.6699999999991633,False,97,4375.0,2026-08-19 14:15:00+00:00,SL,2026-08-19 14:40:00+00:00,2026.08.19 17:10:00,2026.08.19 17:15:00,2026.08.19 17:40:00
BUY,2026-08-21 20:00:00+00:00,2026-08-21 20:00:00+00:00,4626.1,4620.29,4.270000000000437,False,113,4631.91,2026-08-21 20:10:00+00:00,SL,2026-08-21 20:20:00+00:00,2026.08.21 23:00:00,2026.08.21 23:10:00,2026.08.21 23:20:00
BUY,2026-08-21 21:10:00+00:00,2026-08-21 21:10:00+00:00,4624.69,4618.79,5.300000000000182,False,114,4630.59,2026-08-21 21:25:00+00:00,SL,2026-08-21 21:35:00+00:00,2026.08.22 00:10:00,2026.08.22 00:25:00,2026.08.22 00:35:00
BUY,2026-08-21 21:55:00+00:00,2026-08-21 21:55:00+00:00,4622.24,4619.68,3.5900000000001455,False,116,4624.8,2026-08-21 22:00:00+00:00,SL,2026-08-21 22:05:00+00:00,2026.08.22 00:55:00,2026.08.22 01:00:00,2026.08.22 01:05:00
BUY,2026-08-25 08:25:00+00:00,2026-08-25 08:25:00+00:00,4642.67,4635.38,6.230000000000473,False,129,4649.96,2026-08-25 08:30:00+00:00,TP,2026-08-25 09:10:00+00:00,2026.08.25 11:25:00,2026.08.25 11:30:00,2026.08.25 12:10:00
BUY,2026-08-25 09:15:00+00:00,2026-08-25 09:15:00+00:00,4649.55,4641.02,3.7799999999997453,False,130,4658.08,2026-08-25 09:30:00+00:00,SL,2026-08-25 09:55:00+00:00,2026.08.25 12:15:00,2026.08.25 12:30:00,2026.08.25 12:55:00
BUY,2026-08-26 05:05:00+00:00,2026-08-26 05:05:00+00:00,4658.73,4651.37,5.1599999999998545,False,134,4666.09,2026-08-26 05:25:00+00:00,TP,2026-08-26 05:35:00+00:00,2026.08.26 08:05:00,2026.08.26 08:25:00,2026.08.26 08:35:00
SELL,2026-08-26 06:15:00+00:00,2026-08-26 06:15:00+00:00,4650.19,4659.48,7.5,False,136,4640.9,2026-08-26 06:20:00+00:00,TP,2026-08-26 07:25:00+00:00,2026.08.26 09:15:00,2026.08.26 09:20:00,2026.08.26 10:25:00
BUY,2026-08-26 15:05:00+00:00,2026-08-26 15:05:00+00:00,4625.62,4617.53,5.220000000000255,False,138,4633.71,2026-08-26 15:30:00+00:00,SL,2026-08-26 15:30:00+00:00,2026.08.26 18:05:00,2026.08.26 18:30:00,2026.08.26 18:30:00
BUY,2026-08-27 19:00:00+00:00,2026-08-27 19:00:00+00:00,4608.18,4600.26,5.110000000000582,False,143,4616.1,2026-08-27 19:05:00+00:00,TP,2026-08-27 19:50:00+00:00,2026.08.27 22:00:00,2026.08.27 22:05:00,2026.08.27 22:50:00
SELL,2026-08-28 02:55:00+00:00,2026-08-28 02:55:00+00:00,4596.63,4601.59,3.100000000000364,False,144,4591.67,2026-08-28 03:00:00+00:00,SL,2026-08-28 03:10:00+00:00,2026.08.28 05:55:00,2026.08.28 06:00:00,2026.08.28 06:10:00
SELL,2026-08-28 22:55:00+00:00,2026-08-28 22:55:00+00:00,4459.65,4466.89,7.520000000000437,False,150,4452.41,2026-08-28 23:00:00+00:00,TP,2026-08-31 01:00:00+00:00,2026.08.29 01:55:00,2026.08.29 02:00:00,2026.08.31 04:00:00
SELL,2026-08-31 07:10:00+00:00,2026-08-31 07:10:00+00:00,4419.0,4424.66,4.119999999999891,False,152,4413.34,2026-08-31 07:20:00+00:00,TP,2026-08-31 07:30:00+00:00,2026.08.31 10:10:00,2026.08.31 10:20:00,2026.08.31 10:30:00
BUY,2026-09-02 15:00:00+00:00,2026-09-02 15:00:00+00:00,4330.46,4323.51,4.609999999999673,False,170,4337.41,2026-09-02 15:10:00+00:00,TP,2026-09-02 15:20:00+00:00,2026.09.02 18:00:00,2026.09.02 18:10:00,2026.09.02 18:20:00
BUY,2026-09-03 07:00:00+00:00,2026-09-03 07:00:00+00:00,4430.78,4425.4,3.380000000000109,False,174,4436.16,2026-09-03 07:15:00+00:00,TP,2026-09-03 07:25:00+00:00,2026.09.03 10:00:00,2026.09.03 10:15:00,2026.09.03 10:25:00
SELL,2026-09-07 12:00:00+00:00,2026-09-07 12:00:00+00:00,4406.44,4415.22,2.5399999999999636,False,184,4397.66,2026-09-07 12:35:00+00:00,TP,2026-09-07 13:25:00+00:00,2026.09.07 15:00:00,2026.09.07 15:35:00,2026.09.07 16:25:00
BUY,2026-09-07 16:10:00+00:00,2026-09-07 16:10:00+00:00,4403.24,4394.33,3.339999999999236,False,185,4412.15,2026-09-07 16:35:00+00:00,TP,2026-09-07 17:40:00+00:00,2026.09.07 19:10:00,2026.09.07 19:35:00,2026.09.07 20:40:00
BUY,2026-09-08 06:55:00+00:00,2026-09-08 06:55:00+00:00,4439.27,4430.94,4.119999999999891,False,188,4447.6,2026-09-08 07:15:00+00:00,SL,2026-09-08 08:05:00+00:00,2026.09.08 09:55:00,2026.09.08 10:15:00,2026.09.08 11:05:00
SELL,2026-09-09 13:00:00+00:00,2026-09-09 13:00:00+00:00,4391.13,4396.34,3.9200000000000728,False,200,4385.92,2026-09-09 13:05:00+00:00,SL,2026-09-09 13:30:00+00:00,2026.09.09 16:00:00,2026.09.09 16:05:00,2026.09.09 16:30:00
SELL,2026-09-10 11:40:00+00:00,2026-09-10 11:40:00+00:00,4396.53,4406.39,5.779999999999745,False,207,4386.67,2026-09-10 11:50:00+00:00,TP,2026-09-10 13:30:00+00:00,2026.09.10 14:40:00,2026.09.10 14:50:00,2026.09.10 16:30:00
SELL,2026-09-14 11:00:00+00:00,2026-09-14 11:00:00+00:00,4312.51,4321.95,6.430000000000291,False,215,4303.07,2026-09-14 11:20:00+00:00,TP,2026-09-14 12:15:00+00:00,2026.09.14 14:00:00,2026.09.14 14:20:00,2026.09.14 15:15:00
SELL,2026-09-14 22:55:00+00:00,2026-09-14 22:55:00+00:00,4285.06,4292.31,4.029999999999745,False,222,4277.81,2026-09-14 23:05:00+00:00,SL,2026-09-14 23:15:00+00:00,2026.09.15 01:55:00,2026.09.15 02:05:00,2026.09.15 02:15:00
SELL,2026-09-15 06:55:00+00:00,2026-09-15 06:55:00+00:00,4304.29,4310.16,3.0100000000002183,False,224,4298.42,2026-09-15 07:05:00+00:00,TP,2026-09-15 08:20:00+00:00,2026.09.15 09:55:00,2026.09.15 10:05:00,2026.09.15 11:20:00
BUY,2026-09-15 16:55:00+00:00,2026-09-15 16:55:00+00:00,4293.57,4285.3,5.190000000000509,False,227,4301.84,2026-09-15 17:15:00+00:00,SL,2026-09-15 17:25:00+00:00,2026.09.15 19:55:00,2026.09.15 20:15:00,2026.09.15 20:25:00
BUY,2026-09-16 10:05:00+00:00,2026-09-16 10:05:00+00:00,4332.1,4326.79,4.769999999999527,False,234,4337.41,2026-09-16 10:10:00+00:00,TP,2026-09-16 10:15:00+00:00,2026.09.16 13:05:00,2026.09.16 13:10:00,2026.09.16 13:15:00
BUY,2026-09-16 11:25:00+00:00,2026-09-16 11:25:00+00:00,4331.17,4323.08,4.979999999999563,False,235,4339.26,2026-09-16 11:30:00+00:00,TP,2026-09-16 12:55:00+00:00,2026.09.16 14:25:00,2026.09.16 14:30:00,2026.09.16 15:55:00
